transaction_date,date_skey,year,month_number,day_in_month,day_of_week,day_name,quarter_const
2023-01-01,20230101,2023,1,1,1,Sunday,3        
2023-01-02,20230102,2023,1,2,2,Monday,3        
2023-01-03,20230103,2023,1,3,3,Tuesday,3        
2023-01-04,20230104,2023,1,4,4,Wednesday,3        
2023-01-05,20230105,2023,1,5,5,Thursday,3        
2023-01-06,20230106,2023,1,6,6,Friday,3        
2023-01-07,20230107,2023,1,7,7,Saturday,3        
2023-01-08,20230108,2023,1,8,1,Sunday,3        
2023-01-09,20230109,2023,1,9,2,Monday,3        
2023-01-10,20230110,2023,1,10,3,Tuesday,3        
2023-01-11,20230111,2023,1,11,4,Wednesday,3        
2023-01-12,20230112,2023,1,12,5,Thursday,3        
2023-01-13,20230113,2023,1,13,6,Friday,3        
2023-01-14,20230114,2023,1,14,7,Saturday,3        
2023-01-15,20230115,2023,1,15,1,Sunday,3        
2023-01-16,20230116,2023,1,16,2,Monday,3        
2023-01-17,20230117,2023,1,17,3,Tuesday,3        
2023-01-18,20230118,2023,1,18,4,Wednesday,3        
2023-01-19,20230119,2023,1,19,5,Thursday,3        
2023-01-20,20230120,2023,1,20,6,Friday,3        
2023-01-21,20230121,2023,1,21,7,Saturday,3        
2023-01-22,20230122,2023,1,22,1,Sunday,3        
2023-01-23,20230123,2023,1,23,2,Monday,3        
2023-01-24,20230124,2023,1,24,3,Tuesday,3        
2023-01-25,20230125,2023,1,25,4,Wednesday,3        
2023-01-26,20230126,2023,1,26,5,Thursday,3        
2023-01-27,20230127,2023,1,27,6,Friday,3        
2023-01-28,20230128,2023,1,28,7,Saturday,3        
2023-01-29,20230129,2023,1,29,1,Sunday,3        
2023-01-30,20230130,2023,1,30,2,Monday,3        
2023-01-31,20230131,2023,1,31,3,Tuesday,3        
2023-02-01,20230201,2023,2,1,4,Wednesday,3        
2023-02-02,20230202,2023,2,2,5,Thursday,3        
2023-02-03,20230203,2023,2,3,6,Friday,3        
2023-02-04,20230204,2023,2,4,7,Saturday,3        
2023-02-05,20230205,2023,2,5,1,Sunday,3        
2023-02-06,20230206,2023,2,6,2,Monday,3        
2023-02-07,20230207,2023,2,7,3,Tuesday,3        
2023-02-08,20230208,2023,2,8,4,Wednesday,3        
2023-02-09,20230209,2023,2,9,5,Thursday,3        
2023-02-10,20230210,2023,2,10,6,Friday,3        
2023-02-11,20230211,2023,2,11,7,Saturday,3        
2023-02-12,20230212,2023,2,12,1,Sunday,3        
2023-02-13,20230213,2023,2,13,2,Monday,3        
2023-02-14,20230214,2023,2,14,3,Tuesday,3        
2023-02-15,20230215,2023,2,15,4,Wednesday,3        
2023-02-16,20230216,2023,2,16,5,Thursday,3        
2023-02-17,20230217,2023,2,17,6,Friday,3        
2023-02-18,20230218,2023,2,18,7,Saturday,3        
2023-02-19,20230219,2023,2,19,1,Sunday,3        
2023-02-20,20230220,2023,2,20,2,Monday,3        
2023-02-21,20230221,2023,2,21,3,Tuesday,3        
2023-02-22,20230222,2023,2,22,4,Wednesday,3        
2023-02-23,20230223,2023,2,23,5,Thursday,3        
2023-02-24,20230224,2023,2,24,6,Friday,3        
2023-02-25,20230225,2023,2,25,7,Saturday,3        
2023-02-26,20230226,2023,2,26,1,Sunday,3        
2023-02-27,20230227,2023,2,27,2,Monday,3        
2023-02-28,20230228,2023,2,28,3,Tuesday,3        
2023-03-01,20230301,2023,3,1,4,Wednesday,3        
2023-03-02,20230302,2023,3,2,5,Thursday,3        
2023-03-03,20230303,2023,3,3,6,Friday,3        
2023-03-04,20230304,2023,3,4,7,Saturday,3        
2023-03-05,20230305,2023,3,5,1,Sunday,3        
2023-03-06,20230306,2023,3,6,2,Monday,3        
2023-03-07,20230307,2023,3,7,3,Tuesday,3        
2023-03-08,20230308,2023,3,8,4,Wednesday,3        
2023-03-09,20230309,2023,3,9,5,Thursday,3        
2023-03-10,20230310,2023,3,10,6,Friday,3        
2023-03-11,20230311,2023,3,11,7,Saturday,3        
2023-03-12,20230312,2023,3,12,1,Sunday,3        
2023-03-13,20230313,2023,3,13,2,Monday,3        
2023-03-14,20230314,2023,3,14,3,Tuesday,3        
2023-03-15,20230315,2023,3,15,4,Wednesday,3        
2023-03-16,20230316,2023,3,16,5,Thursday,3        
2023-03-17,20230317,2023,3,17,6,Friday,3        
2023-03-18,20230318,2023,3,18,7,Saturday,3        
2023-03-19,20230319,2023,3,19,1,Sunday,3        
2023-03-20,20230320,2023,3,20,2,Monday,3        
2023-03-21,20230321,2023,3,21,3,Tuesday,3        
2023-03-22,20230322,2023,3,22,4,Wednesday,3        
2023-03-23,20230323,2023,3,23,5,Thursday,3        
2023-03-24,20230324,2023,3,24,6,Friday,3        
2023-03-25,20230325,2023,3,25,7,Saturday,3        
2023-03-26,20230326,2023,3,26,1,Sunday,3        
2023-03-27,20230327,2023,3,27,2,Monday,3        
2023-03-28,20230328,2023,3,28,3,Tuesday,3        
2023-03-29,20230329,2023,3,29,4,Wednesday,3        
2023-03-30,20230330,2023,3,30,5,Thursday,3        
2023-03-31,20230331,2023,3,31,6,Friday,3        
2023-04-01,20230401,2023,4,1,7,Saturday,3        
2023-04-02,20230402,2023,4,2,1,Sunday,3        
2023-04-03,20230403,2023,4,3,2,Monday,3        
2023-04-04,20230404,2023,4,4,3,Tuesday,3        
2023-04-05,20230405,2023,4,5,4,Wednesday,3        
2023-04-06,20230406,2023,4,6,5,Thursday,3        
2023-04-07,20230407,2023,4,7,6,Friday,3        
2023-04-08,20230408,2023,4,8,7,Saturday,3        
2023-04-09,20230409,2023,4,9,1,Sunday,3        
2023-04-10,20230410,2023,4,10,2,Monday,3        
2023-04-11,20230411,2023,4,11,3,Tuesday,3        
2023-04-12,20230412,2023,4,12,4,Wednesday,3        
2023-04-13,20230413,2023,4,13,5,Thursday,3        
2023-04-14,20230414,2023,4,14,6,Friday,3        
2023-04-15,20230415,2023,4,15,7,Saturday,3        
2023-04-16,20230416,2023,4,16,1,Sunday,3        
2023-04-17,20230417,2023,4,17,2,Monday,3        
2023-04-18,20230418,2023,4,18,3,Tuesday,3        
2023-04-19,20230419,2023,4,19,4,Wednesday,3        
2023-04-20,20230420,2023,4,20,5,Thursday,3        
2023-04-21,20230421,2023,4,21,6,Friday,3        
2023-04-22,20230422,2023,4,22,7,Saturday,3        
2023-04-23,20230423,2023,4,23,1,Sunday,3        
2023-04-24,20230424,2023,4,24,2,Monday,3        
2023-04-25,20230425,2023,4,25,3,Tuesday,3        
2023-04-26,20230426,2023,4,26,4,Wednesday,3        
2023-04-27,20230427,2023,4,27,5,Thursday,3        
2023-04-28,20230428,2023,4,28,6,Friday,3        
2023-04-29,20230429,2023,4,29,7,Saturday,3        
2023-04-30,20230430,2023,4,30,1,Sunday,3        
2023-05-01,20230501,2023,5,1,2,Monday,3        
2023-05-02,20230502,2023,5,2,3,Tuesday,3        
2023-05-03,20230503,2023,5,3,4,Wednesday,3        
2023-05-04,20230504,2023,5,4,5,Thursday,3        
2023-05-05,20230505,2023,5,5,6,Friday,3        
2023-05-06,20230506,2023,5,6,7,Saturday,3        
2023-05-07,20230507,2023,5,7,1,Sunday,3        
2023-05-08,20230508,2023,5,8,2,Monday,3        
2023-05-09,20230509,2023,5,9,3,Tuesday,3        
2023-05-10,20230510,2023,5,10,4,Wednesday,3        
2023-05-11,20230511,2023,5,11,5,Thursday,3        
2023-05-12,20230512,2023,5,12,6,Friday,3        
2023-05-13,20230513,2023,5,13,7,Saturday,3        
2023-05-14,20230514,2023,5,14,1,Sunday,3        
2023-05-15,20230515,2023,5,15,2,Monday,3        
2023-05-16,20230516,2023,5,16,3,Tuesday,3        
2023-05-17,20230517,2023,5,17,4,Wednesday,3        
2023-05-18,20230518,2023,5,18,5,Thursday,3        
2023-05-19,20230519,2023,5,19,6,Friday,3        
2023-05-20,20230520,2023,5,20,7,Saturday,3        
2023-05-21,20230521,2023,5,21,1,Sunday,3        
